Timestamp,Name a superpower you would like to have.,Name your favorite LaCroix flavor.,Name your favorite lunch spot near the office.,Name your mode of transportation used for commuting to the office.,Name your favorite TV show.,Name your celebrity crush.
2018/04/26 3:46:05 PM EST,Flight,Orange,Cafecito,Metra,Game of Thrones,Bill Murray
2018/04/26 4:04:55 PM EST,Flight,Lemon,Cosi,El Train,GoT,Jennifer Aniston
2018/04/27 9:36:42 AM EST,Time Manipulation,Lime,Habanero,Metra,Rick and Morty,Emily Blunt
2018/04/27 10:57:41 AM EST,,Coke Zero,,Metra,,
2018/04/27 10:58:11 AM EST,invisibility,hate lacroix,by the river,metra,handmaids tale,billy eichner
2018/04/27 10:58:13 AM EST,Teleportation,Lemon,Potbelly,The L,Archer,Tina Fey
2018/04/27 10:58:28 AM EST,Teleportation,Pineapple Strawberry,Blackwood BBQ,Metra,Billions,Blake Lively
2018/04/27 11:00:17 AM EST,Flight but like at a high speed not my normal walking speed but flying that's not fast enough,I don't liek LaCroix,"Revival Food Hall. yes, I cheated.",Bus to train,The Americans,Sue the T-Rex at the field museum
2018/04/27 11:00:31 AM EST,flying of course,original,Bea's Market,the L,The Americans,too many to pick one
2018/04/27 11:00:36 AM EST,Mind Reading,Lime,Naf Naf Grill,Bus and El,Counterpart,none
2018/04/27 11:00:46 AM EST,Flight,n/a,Small Cheval,CTA,Breaking Bad,Beyonce
2018/04/27 11:00:50 AM EST,Luck,Coke Zero,Starbucks,El,The Americans,Tina Fey
2018/04/27 11:00:57 AM EST,Flight,LaCroix is unholy,Rivers,Metra,The Wire,Chrissy Teigen
2018/04/27 11:01:00 AM EST,Flight,They all suck,My desk,Metra,Alf,Frank Stallone
2018/04/27 11:02:05 AM EST,time travel,pepino,naf naf,uber pool,GOT,Gal Gadot
2018/04/27 11:02:07 AM EST,Fly?,Water,Greek Kitchen,Metra Train,Archer,Ryan Reynolds
2018/04/27 11:02:12 AM EST,Fly,Diet Cherry Coke,Be Leaf,Metra/Bike,The West Wing,Neal deGrasse Tyson
2018/04/27 11:03:21 AM EST,Flight,Coconut,Benjyehuda,Red Line,Stranger Things,Danny DeVito
2018/04/27 11:04:48 AM EST,time travel,gross,Tokyo Lunch Box,El,Parks and Rec,Mike Trout
